DATE,AQI,LEVEL,PM2.5,PM10,SO2,CO,NO2,O3_8h,KEY_POLLUTANT,WEATHER1,WEATHER2,TEMPERATURE1,TEMPERATURE2,RAIN,WEATHER,TEMP_MEAN,TEMP_RANGE,HUMIDITY_MEAN,HUMIDITY_MIN,HUMIDITY_MAX,PRESSURE,WINDSPEED_MEAN,WINDSPEED_MIN,WINDSPEED_MAX
2015-01-01,68,"Good",48,86,21,1,43,103,"PM10","Clear","Clear",19,6,0,1,12.5,13,39.687500,21,62,1023.178333,12.541667,0,25
2015-01-02,73,"Good",53,97,19,1.2,62,81,"NO2","Clear","Clear",20,7,0,1,13.5,13,42.187500,21,72,1022.907917,3.479167,0,11
2015-01-03,133,"Slightly polluted",101,154,29,1.7,96,101,"PM2.5","Clear","Clear",21,8,0,1,14.5,13,66.250000,40,88,1019.975833,2.229167,0,7
2015-01-04,91,"Good",68,107,23,1.5,85,70,"NO2","Cloudy","Cloudy",23,14,0,2,18.5,9,69.187500,46,87,1014.735833,4.125000,0,11
2015-01-05,81,"Good",60,88,28,1.4,78,25,"NO2","Overcast","Overcast",23,17,0,2,20,6,78.895833,69,88,1011.741250,1.833333,0,7
2015-01-06,110,"Slightly polluted",83,114,21,1.6,84,42,"PM2.5","Light rain","Light rain",24,14,1,3,19,10,85.354167,69,100,1012.511042,5.791667,0,25
2015-01-07,60,"Good",43,60,16,1.8,36,24,"PM2.5","Cloudy","Cloudy",17,10,0,2,13.5,7,71.354167,63,82,1019.412500,20.437500,11,29
2015-01-08,61,"Good",44,61,18,1.4,33,92,"PM2.5","Cloudy","Clear",18,6,0,2,12,12,48.416667,28,71,1024.240000,15.020833,0,29
2015-01-09,77,"Good",56,73,22,1.3,50,77,"PM2.5","Cloudy","Cloudy",19,10,0,2,14.5,9,48.020833,34,67,1023.553333,8.208333,0,18
2015-01-10,78,"Good",57,79,24,1.2,54,85,"PM2.5","Cloudy","Cloudy",19,11,0,2,15,8,47.229167,28,67,1022.075833,10.479167,0,29
2015-01-11,74,"Good",54,68,14,1.2,45,41,"PM2.5","Light rain","Light rain",17,9,1,3,13,8,69.333333,52,88,1021.492500,10.208333,0,22
2015-01-12,46,"Excellent",32,43,5,1.2,39,29,"NO2","Moderate to heavy rain","Moderate rain",12,9,1,4,10.5,3,92.875000,82,100,1021.388333,11.937500,7,22
2015-01-13,22,"Excellent",13,22,5,1.2,37,41,"","Light rain","Cloudy",15,7,1,3,11,8,84.062500,67,94,1020.388333,13.104167,4,22
2015-01-14,36,"Excellent",23,36,9,1,37,66,"","Clear","Clear",19,6,0,1,12.5,13,67.5,45,87,1021.346667,16.312500,7,32
2015-01-15,60,"Good",43,62,10,0.9,54,69,"NO2","Clear","Clear",19,5,0,1,12,14,63.625000,40,88,1021.555000,7.229167,0,18
2015-01-16,83,"Good",61,98,18,1.3,71,70,"NO2","Clear","Clear",20,8,0,1,14,12,63.687500,33,93,1021.118125,7.5,0,22
2015-01-17,67,"Good",48,68,15,0.9,55,85,"NO2","Cloudy","Clear",19,8,0,2,13.5,11,46.312500,30,77,1022.367292,11.145833,0,22
2015-01-18,100,"Good",75,101,23,1.1,58,95,"PM2.5","Clear","Clear",20,8,0,1,14,12,54.729167,35,82,1022.241250,10.062500,0,22
2015-01-19,88,"Good",66,95,20,1.1,60,98,"PM2.5","Clear","Clear",20,7,0,1,13.5,13,39.583333,23,77,1020.765208,8.270833,0,25
2015-01-20,176,"Medially polluted",133,180,37,2.1,145,97,"PM2.5","Clear","Cloudy",21,10,0,2,15.5,11,62.958333,29,87,1018.808750,3.395833,0,7
2015-01-21,163,"Medially polluted",124,158,33,1.9,120,104,"PM2.5","Fog","Fog",22,9,0,2,15.5,13,60.375000,31,94,1018.912917,7.520833,0,18
2015-01-22,79,"Good",58,83,19,1.2,75,100,"NO2","Clear","Clear",22,7,0,1,14.5,15,50.333333,20,82,1019.391667,6,0,14
2015-01-23,87,"Good",64,96,31,1.1,91,105,"NO2","Clear","Cloudy",23,10,0,2,16.5,13,56.291667,22,82,1017.706875,7.145833,0,22
2015-01-24,98,"Good",74,103,28,1.1,90,87,"NO2","Light rain","Cloudy",21,14,1,3,17.5,7,69.666667,55,83,1016.626875,5.145833,0,11
2015-01-25,92,"Good",69,92,23,1.2,71,51,"NO2","Cloudy","Cloudy",23,15,0,2,19,8,83.250000,65,94,1016.315000,5.583333,0,11
2015-01-26,92,"Good",68,87,22,1.2,69,42,"PM2.5","Cloudy","Cloudy",25,14,0,2,19.5,11,82.083333,61,100,1016.044167,6.145833,0,14
2015-01-27,87,"Good",65,83,22,1.1,68,46,"NO2,PM2.5","Cloudy","Cloudy",24,14,0,2,19,10,80.520833,57,100,1015.213125,4.333333,0,11
2015-01-28,68,"Good",49,69,14,1,56,78,"NO2","Cloudy","Cloudy",21,13,0,2,17,8,75.916667,60,88,1015.523750,7.687500,0,14
2015-01-29,71,"Good",52,83,19,1,67,82,"NO2","Cloudy","Overcast",21,12,0,2,16.5,9,67.125000,50,82,1017.126667,9.645833,0,25
2015-01-30,51,"Good",33,52,13,1.2,40,43,"PM10","Overcast","Cloudy",17,8,0,2,12.5,9,64.541667,48,77,1021.015000,17.770833,7,25
2015-01-31,51,"Good",36,51,12,1,38,33,"PM2.5","Cloudy","Cloudy",17,9,0,2,13,8,64.395833,55,76,1024.633958,12.812500,4,22
2015-02-01,58,"Good",41,59,11,1,41,59,"PM2.5","Cloudy","Cloudy",17,10,0,2,13.5,7,60.812500,48,71,1025.069375,11.229167,0,18
2015-02-02,73,"Good",54,79,14,1.2,61,74,"NO2","Clear","Cloudy",19,11,0,2,15,8,62.187500,43,82,1023.655833,5.562500,0,11
2015-02-03,106,"Slightly polluted",80,106,22,1.4,80,56,"PM2.5","Cloudy","Cloudy",21,12,0,2,16.5,9,66.062500,49,82,1022.596667,8.645833,0,18
2015-02-04,68,"Good",49,62,12,1.3,42,28,"PM2.5","Cloudy","Overcast",19,9,0,2,14,10,67.875000,63,77,1022.970833,17.020833,7,22
2015-02-05,58,"Good",42,53,9,1.1,25,63,"PM2.5","Overcast","Cloudy",14,7,0,2,10.5,7,56.458333,39,71,1024.820625,20.645833,11,29
2015-02-06,116,"Slightly polluted",88,111,26,1.1,51,60,"PM2.5","Cloudy","Cloudy",17,8,0,2,12.5,9,46.416667,34,63,1023.010417,9.375000,0,18
2015-02-07,129,"Slightly polluted",98,129,26,1.4,70,41,"PM2.5","Cloudy","Cloudy",17,10,0,2,13.5,7,61.895833,48,76,1020.430417,7.895833,0,18
2015-02-08,88,"Good",65,86,18,1,41,105,"PM2.5","Cloudy","Clear",18,7,0,2,12.5,11,38.562500,24,54,1022.492083,16.083333,0,36
2015-02-09,96,"Good",72,94,21,1.1,59,117,"PM2.5","Clear","Clear",18,6,0,1,12,12,42.583333,26,62,1023.177917,7.687500,0,14
2015-02-10,124,"Slightly polluted",94,126,24,1.2,79,119,"PM2.5","Clear","Cloudy",19,9,0,2,14,10,52.270833,35,76,1019.746667,5.062500,0,11
